Quận/Huyện,Logic,N/A = Yes,Phường,Đường,Đoạn,VT1,VT2,VT3,VT4,Loại đất
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường Sông Thao - Bàu Hàm,,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường 30 tháng 4 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bàu Hàm,Đường 19 tháng 5 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Bàu Hàm,,,150,135,120,100,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Quốc lộ 1A,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường tỉnh 767,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường tỉnh 762 (Trị An - Sóc Lu),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường Trảng Bom - Thanh Bình,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường Trảng Bom - An Viễn,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường 20 (đường Hưng Long - Lộ 25),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường Sông Thao - Bàu Hàm,,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường 30 tháng 4 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Thao,Đường 19 tháng 5 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Sông Thao,,,150,135,120,100,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Quốc lộ 1A,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường tỉnh 767,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường tỉnh 762 (Trị An - Sóc Lu),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường Trảng Bom - Thanh Bình,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường Trảng Bom - An Viễn,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường 20 (đường Hưng Long - Lộ 25),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường Sông Thao - Bàu Hàm,,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường 30 tháng 4 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Cây Gáo,Đường 19 tháng 5 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Cây Gáo,,,150,135,120,100,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Quốc lộ 1A,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường tỉnh 767,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường tỉnh 762 (Trị An - Sóc Lu),,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường Trảng Bom - Thanh Bình,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường Trảng Bom - An Viễn,,170,160,140,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường 20 (đường Hưng Long - Lộ 25),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường Sông Thao - Bàu Hàm,,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường 30 tháng 4 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Thanh Bình,Đường 19 tháng 5 (xã Bàu Hàm),,160,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Thanh Bình,,,150,135,120,100,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Quốc lộ 1A,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường tỉnh 762 (Trị An - Sóc Lu),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường Trảng Bom - Thanh Bình,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường Trảng Bom - An Viễn,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường 20 (đường Hưng Long - Lộ 25),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường Sông Thao - Bàu Hàm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường 30 tháng 4 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bắc Sơn,Đường 19 tháng 5 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Bắc Sơn,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Quốc lộ 1A,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường tỉnh 762 (Trị An - Sóc Lu),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường Trảng Bom - Thanh Bình,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường Trảng Bom - An Viễn,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường 20 (đường Hưng Long - Lộ 25),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường Sông Thao - Bàu Hàm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường 30 tháng 4 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Quảng Tiến,Đường 19 tháng 5 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Quảng Tiến,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Quốc lộ 1A,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường tỉnh 762 (Trị An - Sóc Lu),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường Trảng Bom - Thanh Bình,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường Trảng Bom - An Viễn,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường 20 (đường Hưng Long - Lộ 25),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường Sông Thao - Bàu Hàm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường 30 tháng 4 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Bình Minh,Đường 19 tháng 5 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Bình Minh,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Quốc lộ 1A,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường tỉnh 762 (Trị An - Sóc Lu),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường Trảng Bom - Thanh Bình,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường Trảng Bom - An Viễn,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường 20 (đường Hưng Long - Lộ 25),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường Sông Thao - Bàu Hàm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường 30 tháng 4 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Giang Điền,Đường 19 tháng 5 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Giang Điền,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Quốc lộ 1A,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường tỉnh 762 (Trị An - Sóc Lu),,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường Trảng Bom - Thanh Bình,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường Trảng Bom - An Viễn,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường 20 (đường Hưng Long - Lộ 25),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường Sông Thao - Bàu Hàm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường 30 tháng 4 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Hố Nai 3,Đường 19 tháng 5 (xã Bàu Hàm),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Hố Nai 3,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Quốc lộ 1A,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường tỉnh 767,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường tỉnh 762 (Trị An - Sóc Lu),,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường Trảng Bom - Thanh Bình,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường Trảng Bom - An Viễn,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường 20 (đường Hưng Long - Lộ 25),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường Sông Thao - Bàu Hàm,,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường 30 tháng 4 (xã Bàu Hàm),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Sông Trầu,Đường 19 tháng 5 (xã Bàu Hàm),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Sông Trầu,,,160,140,120,100,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Quốc lộ 1A,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Võ Nguyên Giáp (Quốc lộ 1A tránh thành phố Biên Hòa),,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường tỉnh 767,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường tỉnh 762 (Trị An - Sóc Lu),,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường Trảng Bom - Thanh Bình,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường Trảng Bom - An Viễn,,170,150,135,120,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường 20 (đường Hưng Long - Lộ 25),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường vào trại heo Phú Sơn (xã Bắc Sơn),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường Bình Minh - Giang Điền (đường vào khu du lịch Thác Giang Điền),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường Sông Thao - Bàu Hàm,,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường 30 tháng 4 (xã Bàu Hàm),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Tây Hòa,Đường 19 tháng 5 (xã Bàu Hàm),,165,145,130,110,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,Yes,Tây Hòa,,,160,140,120,100,CÂY HÀNG NĂM
HUYỆN TRẢNG BOM,Phường + Đường + N/A,,Đông Hòa,Quốc lộ 1A,,170,150,135,120,CÂY HÀNG NĂM
