Quận/Huyện,Logic,N/A = Yes,Phường,Đường,Đoạn,VT1,VT2,VT3,VT4,Loại đất
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Mã Đà,,,60,50,45,35,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường tỉnh 761,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường tỉnh 767,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường tỉnh 768,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường Đồng Khởi,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường Đoàn Văn Cự,,70,60,55,45,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường Bình Hòa - Cây Dương,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Hương lộ 9,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường Tân Triều - Thành Đức,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Hương lộ 15,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Hương lộ 7,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Hương lộ 6,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường Tân Hiền,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường Hiếu Liêm,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường 322A,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường 322B,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường Lý Lịch 2 - Bình Chánh,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường ấp 4 -Cây Cầy,,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Hương lộ 24 (xã Thanh Bình),,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Hiếu Liêm,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,65,55,50,40,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Hiếu Liêm,,,60,50,45,35,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường tỉnh 761,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường tỉnh 768,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường Đồng Khởi,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường Đoàn Văn Cự,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường Bình Hòa - Cây Dương,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Hương lộ 9,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường Tân Triều - Thành Đức,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Hương lộ 15,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Hương lộ 7,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Hương lộ 6,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường Tân Hiền,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường Hiếu Liêm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường 322A,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường 322B,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường Lý Lịch 2 - Bình Chánh,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường ấp 4 -Cây Cầy,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Hương lộ 24 (xã Thanh Bình),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thiện Tân,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Thiện Tân,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường tỉnh 761,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường tỉnh 768,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường Đồng Khởi,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường Đoàn Văn Cự,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường Bình Hòa - Cây Dương,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Hương lộ 9,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường Tân Triều - Thành Đức,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Hương lộ 15,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Hương lộ 7,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Hương lộ 6,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường Tân Hiền,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường Hiếu Liêm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường 322A,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường 322B,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường Lý Lịch 2 - Bình Chánh,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường ấp 4 -Cây Cầy,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Hương lộ 24 (xã Thanh Bình),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Thạnh Phú,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Thạnh Phú,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường tỉnh 761,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường tỉnh 768,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường Đồng Khởi,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường Đoàn Văn Cự,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường Bình Hòa - Cây Dương,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Hương lộ 9,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường Tân Triều - Thành Đức,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Hương lộ 15,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Hương lộ 7,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Hương lộ 6,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường Tân Hiền,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường Hiếu Liêm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường 322A,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường 322B,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường Lý Lịch 2 - Bình Chánh,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường ấp 4 -Cây Cầy,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Hương lộ 24 (xã Thanh Bình),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Tân Bình,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Tân Bình,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường tỉnh 761,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường tỉnh 768,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường Đồng Khởi,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường Đoàn Văn Cự,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường Bình Hòa - Cây Dương,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Hương lộ 9,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường Tân Triều - Thành Đức,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Hương lộ 15,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Hương lộ 7,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Hương lộ 6,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường Tân Hiền,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường Hiếu Liêm,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường 322A,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường 322B,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường Lý Lịch 2 - Bình Chánh,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường ấp 4 -Cây Cầy,,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Hương lộ 24 (xã Thanh Bình),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Hòa,Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi (đường Ông Binh),,210,190,170,140,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,Yes,Bình Hòa,,,200,180,160,130,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Lợi,Đường tỉnh 761,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Lợi,Đường tỉnh 767,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Lợi,Đường tỉnh 768,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Lợi,Đường Đồng Khởi,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Lợi,Đường Đoàn Văn Cự,,220,200,180,160,CÂY HÀNG NĂM
HUYỆN VĨNH CỬU,Phường + Đường + N/A,,Bình Lợi,Đường Bình Hòa - Cây Dương,,210,190,170,140,CÂY HÀNG NĂM
