Tỉnh/Thành,Đường,Đoạn
THÀNH PHỐ BIÊN HÒA ,Đường Đoàn Văn Cự,Đoạn từ Phạm Văn Thuận đến Công ty VMEP
THÀNH PHỐ BIÊN HÒA ,Đường Đoàn Văn Cự,Đoạn từ Công ty VMEP đến ranh Bệnh viện Đa khoa Đồng Nai
THÀNH PHỐ BIÊN HÒA ,Đường Trần Quốc Toản,Đoạn từ đường Phạm Văn Thuận đến đường Vũ Hồng Phô
THÀNH PHỐ BIÊN HÒA ,Đường Trần Quốc Toản,Đoạn từ đường Vũ Hồng Phô đến cầu Ông Gia
THÀNH PHỐ BIÊN HÒA ,Đường Trần Quốc Toản,Đoạn từ cầu Ông Gia đến đường 11 KCN Biên Hòa 1
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ ngã ba Vũng Tàu đến đường Nguyễn Thiện Thuật
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ Nguyễn Thiện Thuật đến mũi tàu tiếp giáp đường Võ Nguyên Giáp
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ mũi tàu tiếp giáp đường Võ Nguyên Giáp đến đường Nguyễn Trung Trực
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ đường Nguyễn Trung Trực đến cầu Sông Buông
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ cầu Sông Buông đến hết ranh giới phường Phước Tân
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ ranh giới phường Phước Tân đến đường Hàm Nghi
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ đường Hàm Nghi đến giáp Trung tâm Huấn luyện chó nghiệp vụ Quân Khuyển
THÀNH PHỐ BIÊN HÒA ,Quốc lộ 51,Đoạn từ Trung tâm Huấn luyện chó nghiệp vụ Quân Khuyển đến ranh giới phường Tam Phước và xã An Phước
THÀNH PHỐ BIÊN HÒA ,Đường Võ Nguyên Giáp,Đoạn từ Quốc lộ 51 đến đầu cầu số 3
THÀNH PHỐ BIÊN HÒA ,Đường Võ Nguyên Giáp,Đoạn từ đầu cầu số 3 đến đường Chu Mạnh Trinh
THÀNH PHỐ BIÊN HÒA ,Đường Võ Nguyên Giáp,Đoạn đường Chu Mạnh Trinh đến hết ranh giới phường Phước Tân
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Tỏ ,Đoạn từ Quốc lộ 51 đến đến giáp phường An Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Tỏ ,Đoạn qua phường An Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Trung Trực,Đoạn từ Quốc lộ 51 đến Nhà văn hóa ấp 4 phường An Hòa
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Trung Trực,Đoạn còn lại đến hết đường nhựa
THÀNH PHỐ BIÊN HÒA ,Đường Đinh Quang Ân (đường Tân Cang cũ),Đoạn từ Quốc lộ 51 đến Chùa Viên Thông
THÀNH PHỐ BIÊN HÒA ,Đường Đinh Quang Ân (đường Tân Cang cũ),Đoạn từ Chùa Viên Thông đến đường Võ Nguyên Giáp
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Khắc Hiếu,Đoạn từ đường Phùng Hưng đến ngã 3
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Khắc Hiếu,Đoạn còn lại
THÀNH PHỐ BIÊN HÒA ,Hương lộ 2 ,Đoạn từ cầu Sắt đến cầu Cây Ngã
THÀNH PHỐ BIÊN HÒA ,Hương lộ 2 ,Đoạn từ cầu Cây Ngã đến cầu Vấp
THÀNH PHỐ BIÊN HÒA ,Hương lộ 2 ,Đoạn còn lại
THÀNH PHỐ BIÊN HÒA ,"Đường từ Xa lộ Hà Nội đến Sân vận động Đồng Nai (từ Xa lộ Hà Nội qua Cô Nhi Viện, qua KDC Đinh Thuận, trường Đinh Tiên Hoàng)",Đoạn từ từ Xa lộ Hà Nội đến trường Đinh Tiên Hoàng
THÀNH PHỐ BIÊN HÒA ,"Đường từ Xa lộ Hà Nội đến Sân vận động Đồng Nai (từ Xa lộ Hà Nội qua Cô Nhi Viện, qua KDC Đinh Thuận, trường Đinh Tiên Hoàng)",Đoạn từ trường Đinh Tiên Hoàng đến Sân vận động
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Văn Tiên,Đoạn tư đường Đồng Khởi đến hết ranh khu dân cư Hốc Bà Thức
THÀNH PHỐ BIÊN HÒA ,Đường Lê Ngô Cát,Đoạn từ Quốc lộ 1 đến hết hẻm vào Trường THPT Nguyễn Công Trứ
THÀNH PHỐ BIÊN HÒA ,Đường Lê Ngô Cát,Đoạn từ hẻm vào Trường THPT Nguyễn Công Trứ đến hết Dòng nữ trợ thế Thánh Tâm
THÀNH PHỐ BIÊN HÒA ,Đường Hoàng Minh Chánh,Đoạn từ Nguyễn Ái Quốc đến đường Bùi Hữu Nghĩa (đường Hoàng Minh Chánh cũ)
THÀNH PHỐ BIÊN HÒA ,Đường Đặng Đại Độ,"Đoạn từ đường Nguyễn Tri Phương đến hết thửa đất số 56, tờ bản đồ số 60 (chiều dài 630m giáp bờ sông)"
THÀNH PHỐ BIÊN HÒA ,Đường Nguyễn Trung Trực,Đoạn từ Quốc lộ 51 đến Nhà văn hóa ấp 4
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Thị Minh Khai (gồm 1 đoạn đường Quang Trung và đường Cách Mạng Tháng 8),Đoạn từ đường Nguyễn Trãi đến đường Cách Mạng Tháng Tám
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Thị Minh Khai (gồm 1 đoạn đường Quang Trung và đường Cách Mạng Tháng 8),Đoạn từ đường Cách Mạng Tháng 8 đến giáp đường Hồ Thị Hương
THÀNH PHỐ LONG KHÁNH ,Đường Hồng Thập Tự,Đoạn từ đường Xuân Bình - Xuân Lập đến giáp đường 21 Tháng 4
THÀNH PHỐ LONG KHÁNH ,Đường Hồng Thập Tự,Đoạn từ đường 21 Tháng 4 đến giáp đường Hùng Vương
THÀNH PHỐ LONG KHÁNH ,Đường Hồng Thập Tự,Đoạn từ đường Hùng Vương đến giáp đường Hồ Thị Hương
THÀNH PHỐ LONG KHÁNH ,Đường Hùng Vương,Đoạn từ đường 21 Tháng 4 đến đường Cách Mạng Tháng 8
THÀNH PHỐ LONG KHÁNH ,Đường Hùng Vương,Đoạn từ đường Cách Mạng Tháng 8 đến đường Lý Thái Tổ
THÀNH PHỐ LONG KHÁNH ,Đường Hồ Thị Hương,Đoạn từ đường Lê A đến đường Khổng Tử
THÀNH PHỐ LONG KHÁNH ,Đường Hồ Thị Hương,Đoạn từ đường Khổng Tử đến giáp đường Nguyễn Thị Minh Khai
THÀNH PHỐ LONG KHÁNH ,Đường Hồ Thị Hương,Đoạn từ đường Nguyễn Thị Minh Khai đến giáp cầu Xuân Thanh
THÀNH PHỐ LONG KHÁNH ,Đường Hồ Thị Hương,Đoạn từ cầu Xuân Thanh đến giáp ranh huyện Xuân Lộc
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Văn Cừ,Đoạn từ đường Trần Phú đến đường Quang Trung
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Văn Cừ,Đoạn còn lại
THÀNH PHỐ LONG KHÁNH ,Đường Quang Trung,Đoạn từ Hùng Vương đến đường Trần Huy Liệu
THÀNH PHỐ LONG KHÁNH ,Đường Quang Trung,Đoạn từ đường Trần Huy Liệu đến đường Nguyễn Thị Minh Khai
THÀNH PHỐ LONG KHÁNH ,Đường 21 Tháng 4 (Quốc lộ 1A cũ),Đoạn từ đường vào Nhà thờ Cáp Rang đến giáp đường Suối Tre - Bình Lộc
THÀNH PHỐ LONG KHÁNH ,Đường 21 Tháng 4 (Quốc lộ 1A cũ),Đoạn từ đường Suối Tre - Bình Lộc đến đường Võ Duy Dương
THÀNH PHỐ LONG KHÁNH ,Đường 21 Tháng 4 (Quốc lộ 1A cũ),Đoạn từ đường Võ Duy Dương đến giáp Công ty Cổ phần xây dựng số 2 Đồng Nai
THÀNH PHỐ LONG KHÁNH ,Đường 21 Tháng 4 (Quốc lộ 1A cũ),Đoạn từ  Công ty Cổ phần xây dựng số 2 Đồng Nai đến giáp UBND phường Xuân Bình
THÀNH PHỐ LONG KHÁNH ,Đường 21 Tháng 4 (Quốc lộ 1A cũ),Đoạn từ UBND phường Xuân Bình đến giáp tượng đài
THÀNH PHỐ LONG KHÁNH ,Đường 21 Tháng 4 (Quốc lộ 1A cũ),Đoạn từ tượng đài đến giáp cầu Gia Liêu
THÀNH PHỐ LONG KHÁNH ,Đường 21 Tháng 4 (Quốc lộ 1A cũ),Đoạn từ giáp cầu Gia Liêu đến giáp ngã ba Tân Phong
THÀNH PHỐ LONG KHÁNH ,Đường Trần Phú,Đoạn từ đường Hùng Vương đến đường Hồ Thị Hương
THÀNH PHỐ LONG KHÁNH ,Đường Trần Phú,Đoạn từ đường Hồ Thị Hương vào 200 m
THÀNH PHỐ LONG KHÁNH ,Đường Trần Phú,Đoạn tiếp theo đến giáp ranh xã Bàu Trâm
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Trãi (đường 908 cũ),Đoạn từ ngã ba Hùng Vương đến đường Nguyễn Thị Minh Khai
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Trãi (đường 908 cũ),Đoạn còn lại
THÀNH PHỐ LONG KHÁNH ,Đường Ngô Quyền (từ cầu Xuân Thanh đến đường Bảo Vinh - Bảo Quang),Đoạn từ đường Bảo Vinh - Bảo Quang đến đường vào nghĩa địa Bảo Sơn
THÀNH PHỐ LONG KHÁNH ,Đường Ngô Quyền (từ cầu Xuân Thanh đến đường Bảo Vinh - Bảo Quang),Đoạn từ đường vào nghĩa địa Bảo Sơn đến đường Duy Tân
THÀNH PHỐ LONG KHÁNH ,Đường Ngô Quyền (từ cầu Xuân Thanh đến đường Bảo Vinh - Bảo Quang),Đoạn từ đường Duy Tân đến đường Phạm Thế Hiển
THÀNH PHỐ LONG KHÁNH ,Đường Ngô Quyền (từ cầu Xuân Thanh đến đường Bảo Vinh - Bảo Quang),Đoạn từ đường Phạm Thế Hiển đến giáp cầu Xuân Thanh
THÀNH PHỐ LONG KHÁNH ,Đường Hồ Tùng Mậu,Đoạn từ đường Nguyễn Thị Minh Khai đến đường Hồ Thị Hương
THÀNH PHỐ LONG KHÁNH ,Đường Hồ Tùng Mậu,Đoạn từ đường Hồ Thị Hương đến đường Nguyễn Chí Thanh
THÀNH PHỐ LONG KHÁNH ,Đường Chu Văn An,Đoạn từ đường Võ Duy Dương đến đường 21 Tháng 4
THÀNH PHỐ LONG KHÁNH ,Đường Chu Văn An,Đoạn còn lại
THÀNH PHỐ LONG KHÁNH ,Đường Phạm Ngọc Thạch,Đoạn từ đường Trần Quang Diệu đến đường 21 Tháng 4
THÀNH PHỐ LONG KHÁNH ,Đường Phạm Ngọc Thạch,Đoạn từ đường 21 Tháng 4 đến đường Lương Đình Của
THÀNH PHỐ LONG KHÁNH ,Đường Tô Hiến Thành,Đoạn từ đường 21 Tháng 4 đến đường Nguyễn Văn Cừ
THÀNH PHỐ LONG KHÁNH ,Đường Tô Hiến Thành,Đoạn còn lại
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Văn Trỗi,Đoạn qua phường Xuân Bình
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Văn Trỗi,Đoạn từ ranh giới phường Xuân Bình đến hết khu dân cư khu phố Núi Đỏ
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Văn Trỗi,Đoạn tiếp theo đến đường Bàu Sen
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Trung Trực,Đoạn đầu đến đường Hồ Thị Hương
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Trung Trực,Đoạn từ đường Hồ Thị Hương đến giáp cầu Suối Cải
THÀNH PHỐ LONG KHÁNH ,Đường Nguyễn Trung Trực,Đoạn qua phường Bảo Vinh
THÀNH PHỐ LONG KHÁNH ,Đường Quốc lộ 1,Đoạn từ giáp ranh huyện Thống Nhất đến đường vào Nhà thờ Cáp Rang
THÀNH PHỐ LONG KHÁNH ,Đường Quốc lộ 1,Đoạn từ ngã ba Tân Phong đến trạm dừng chân Lê Hoàng
THÀNH PHỐ LONG KHÁNH ,Đường Quốc lộ 1,"Đoạn từ trạm dừng chân Lê Hoàng đến giáp xã Xuân Định, huyện Xuân Lộc"
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Bình - Xuân Lập (từ giáp ranh phường Xuân Bình đến giáp Bưu điện phường Xuân Lập),Đoạn từ đường Võ Duy Dương đến đường Võ Văn Tần
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Bình - Xuân Lập (từ giáp ranh phường Xuân Bình đến giáp Bưu điện phường Xuân Lập),Đoạn từ đường Võ Văn Tần đến đường Bàu Sen đi Xuân Lập
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Bình - Xuân Lập (từ giáp ranh phường Xuân Bình đến giáp Bưu điện phường Xuân Lập),Đoạn từ đường Bàu Sen đi Xuân Lập đến giáp ranh phường Xuân Lập
THÀNH PHỐ LONG KHÁNH ,Đường Xuân Bình - Xuân Lập (từ giáp ranh phường Xuân Bình đến giáp Bưu điện phường Xuân Lập),Đoạn qua phường Xuân Lập
THÀNH PHỐ LONG KHÁNH ,Đường Duy Tân,Đoạn từ đường Ngô Quyền đến giáp ngã ba Ông Phúc
THÀNH PHỐ LONG KHÁNH ,Đường Duy Tân,Đoạn từ ngã ba Ông Phúc đến giáp cầu 4 Thước
