certificate_num;certificate_date;document_num;document_date;service_fee;bank
3491;2022-10-19;4274;2022-10-18;3300000;CSXH
3492,1;2022-10-19;4244;2022-10-17;7000000;HD
3494,1;2022-10-19;4211,1;2022-10-14;3300000;BIDV
3497;2022-10-19;4284;2022-10-19;2200000;BIDV
3498;2022-10-19;4275;2022-10-18;11300000;VCB
3500;2022-10-19;4248;2022-10-17;2500000;VCB
3501;2022-10-19;4209;2022-10-13;1650000;VCB
3502;2022-10-19;4249;2022-10-17;2500000;VCB
3478;2022-10-18;4167;2022-10-11;6000000;HD
3484;2022-10-18;4261;2022-10-18;1650000;VCB
3486;2022-10-18;4226;2022-10-17;4000000;BIDV
3488;2022-10-18;4273;2022-10-18;12000000;BIDV
3454;2022-10-17;4233;2022-10-17;5000000;HD
3454,1;2022-10-17;4226,1;2022-10-17;1000000;VCB
3455;2022-10-17;4234;2022-10-17;5000000;HD
3459,1;2022-10-17;4232;2022-10-17;2000000;VCB
3461,1;2022-10-17;4235;2022-10-17;8000000;BIDV
3471;2022-10-17;4238;2022-10-17;2100000;VCB
3472;2022-10-17;4239;2022-10-17;2900000;VCB
4210;2022-10-17;4210;2022-10-14;2000000;VTB
3431,1;2022-10-14;4203;2022-10-13;3300000;BIDV
3432;2022-10-14;4205;2022-10-13;1800000;VTB
3433;2022-10-14;4154;2022-10-10;55000000;HD
3433,1;2022-10-14;4199;2022-10-13;4500000;VCB
3435,1;2022-10-14;4198;2022-10-13;4400000;BIDV
3439;2022-10-14;4216;2022-10-14;2500000;VCB
3440;2022-10-14;4217;2022-10-14;4500000;HD
3445;2022-10-14;3487,1;2022-08-22;2200000;VTB
3446;2022-10-14;3451;2022-08-17;3300000;VCB
3448;2022-10-14;4222;2022-10-14;6000000;HD
3449;2022-10-14;4214;2022-10-14;1650000;VCB
3450;2022-10-14;4218;2022-10-14;3500000;HD
3413;2022-10-13;4080;2022-10-04;11000000;HD
3414;2022-10-13;4191;2022-10-12;2200000;BIDV
3421;2022-10-13;4202;2022-10-13;2000000;VCB
3425;2022-10-13;4143,1;2022-10-10;2800000;VCB
3395,1;2022-10-12;4124;2022-10-06;3200000;VTB
3397,1;2022-10-12;4188;2022-10-12;2200000;BIDV
3398,1;2022-10-12;4120;2022-10-06;35000000;BIDV
3403;2022-10-12;4142,1;2022-10-10;2200000;BIDV
h;2022-10-12;4168;2022-10-11;5000000;HD
3378;2022-10-11;4129;2022-10-07;4000000;AGRI
3378,1;2022-10-11;4150;2022-10-10;6000000;HD
3379;2022-10-11;4130;2022-10-07;8500000;KHAC
3380;2022-10-11;4136;2022-10-07;4000000;AGRI
3384;2022-10-11;4164;2022-10-11;3000000;BIDV
3387;2022-10-11;4151;2022-10-10;2500000;VTB
3390;2022-10-11;4152;2022-10-10;2500000;BIDV
3391;2022-10-11;4157;2022-10-10;4600000;VCB
3392;2022-10-11;4172;2022-10-11;2000000;VCB
3393;2022-10-11;4173;2022-10-11;2500000;VCB
3366;2022-10-10;4137;2022-10-07;2500000;VCB
3367;2022-10-10;4139;2022-10-07;2200000;VCB
3373;2022-10-10;4041;2022-09-30;3500000;VTB
3374;2022-10-10;4140;2022-10-07;3300000;BIDV
3375;2022-10-10;4141;2022-10-07;3500000;BIDV
3377;2022-10-10;4146;2022-10-10;2500000;VTB
3353,1;2022-10-07;4134;2022-10-07;1650000;VCB
3356;2022-10-07;4119;2022-10-06;2500000;VCB
3356,1;2022-10-07;3967,1;2022-09-26;2200000;VCB
3358,1;2022-10-07;4126,1;2022-10-07;2500000;VCB
3361;2022-10-07;4118;2022-10-06;4000000;HD
3342,1;2022-10-06;3177,1;2022-07-29;3750000;VCB
3346;2022-10-06;4060;2022-10-03;5500000;HD
3349;2022-10-06;4010;2022-09-28;7500000;HD
3350;2022-10-06;4091;2022-10-05;2750000;BIDV
h;2022-10-06;4006;2022-09-28;2500000;HD
3328;2022-10-05;4089;2022-10-05;5000000;HD
3333;2022-10-05;4092;2022-10-05;1650000;VCB
3335;2022-10-05;4093;2022-10-05;1350000;VTB
3336;2022-10-05;4066;2022-10-03;1650000;VCB
3337;2022-10-05;4046;2022-09-30;2000000;VCB
3338;2022-10-05;4095;2022-10-05;1650000;VCB
3340;2022-10-05;4073;2022-10-04;8000000;HD
3320,1;2022-10-04;4064;2022-10-03;6600000;HD
3321,1;2022-10-04;4050;2022-10-03;3300000;BIDV
3324;2022-10-04;4058;2022-10-03;2750000;BIDV
3327;2022-10-04;4061;2022-10-03;1800000;VTB
3305;2022-10-03;4030;2022-09-29;2800000;VCB
3305,1;2022-10-03;4059;2022-10-03;3300000;BIDV
3306;2022-10-03;4031;2022-09-29;1800000;VCB
3306,1;2022-10-03;4039;2022-09-30;66000000;BIDV
3307,1;2022-10-03;4052;2022-10-03;3000000;VCB
3308,1;2022-10-03;4065;2022-10-03;1500000;BIDV
3309;2022-10-03;4062;2022-10-03;1100000;VCB
3310;2022-10-03;4042;2022-09-30;2200000;VTB
3318;2022-10-03;3932;2022-09-22;4400000;HD
3286,1;2022-09-30;4026;2022-09-29;3800000;BIDV
3289;2022-09-30;4037;2022-09-30;2000000;VTB
3297;2022-09-30;3984;2022-09-26;3300000;VCB
3298;2022-09-30;4016;2022-09-28;1650000;VCB
3299;2022-09-30;4033;2022-09-29;1650000;VCB
3271;2022-09-29;3993;2022-09-27;3700000;CSXH
3273;2022-09-29;4011;2022-09-28;18000000;VCB
3279;2022-09-29;3976;2022-09-26;1800000;VTB
3284;2022-09-29;4014;2022-09-28;3300000;CSXH
3245,1;2022-09-28;3999;2022-09-27;3500000;HD
3249;2022-09-28;3981;2022-09-26;1650000;VCB
3249;2022-09-28;4002;2022-09-28;2200000;VTB
3250;2022-09-28;4004;2022-09-28;1650000;VCB
3255;2022-09-28;3992;2022-09-27;4400000;BIDV
3258;2022-09-28;4003;2022-09-28;2200000;VTB
3262;2022-09-28;3994;2022-09-27;7000000;VCB
3263;2022-09-28;3927;2022-09-22;5500000;HD
3264;2022-09-28;3998;2022-09-27;2200000;VTB
3265;2022-09-28;3804;2022-09-14;5500000;VCB
3216,1;2022-09-27;3971;2022-09-26;1650000;VTB
3217;2022-09-27;3946;2022-09-23;5000000;HD
3228;2022-09-27;3880;2022-09-19;2200000;VCB
3230;2022-09-27;3803;2022-09-14;3500000;VCB
3239;2022-09-27;3989;2022-09-27;2200000;VTB
3204,1;2022-09-26;3958;2022-09-23;1800000;VCB
3205;2022-09-26;3731;2022-09-09;16250000;VCB
3205,1;2022-09-26;3960;2022-09-23;2200000;BIDV
3207;2022-09-26;3967;2022-09-26;15000000;HD
3207,1;2022-09-26;1521,2;2022-04-22;15000000;VCB
3208,1;2022-09-26;3966,1;2022-09-26;2200000;VCB
3209,1;2022-09-26;3965,1;2022-09-26;6000000;VCB
3213;2022-09-26;3956;2022-09-23;2000000;VTB
3215;2022-09-26;3959;2022-09-23;1800000;VTB
3178;2022-09-23;3919;2022-09-22;5000000;HD
3181;2022-09-23;3926;2022-09-22;4000000;HD
3184;2022-09-23;3949;2022-09-23;1650000;VCB
3190;2022-09-23;1438,1;2022-04-18;3000000;VTB
3191;2022-09-23;3907;2022-09-21;4000000;HD
3192;2022-09-23;3908;2022-09-21;12000000;HD
3194;2022-09-23;3829;2022-09-15;1650000;VCB
3196;2022-09-23;3883,1;2022-09-20;2500000;VCB
3197;2022-09-23;3961;2022-09-23;2500000;VCB
3198;2022-09-23;3962;2022-09-23;2500000;VCB
3200;2022-09-23;3933;2022-09-22;2200000;VCB
3201;2022-09-23;3955;2022-09-23;2800000;VCB
3202;2022-09-23;3954;2022-09-23;7700000;BIDV
3162;2022-09-22;3906;2022-09-21;2200000;VTB
3162,2;2022-09-22;3644,1;2022-09-05;3000000;VCB
3163;2022-09-22;3888;2022-09-20;2200000;VTB
3163,1;2022-09-22;3766,1;2022-09-13;3500000;VCB
3164,1;2022-09-22;3910;2022-09-21;2700000;BIDV
3165,1;2022-09-22;3911;2022-09-21;6000000;BIDV
3166;2022-09-22;3909;2022-09-21;2000000;VCB
3167;2022-09-22;3917;2022-09-22;8800000;HD
3167,1;2022-09-22;3938;2022-09-22;2000000;VCB
3168;2022-09-22;3921;2022-09-22;5500000;HD
3169;2022-09-22;3924;2022-09-22;2000000;VTB
3170;2022-09-22;3920;2022-09-22;6000000;HD
3172;2022-09-22;3896;2022-09-20;4000000;VCB
3173;2022-09-22;3897;2022-09-20;1650000;VCB
3174;2022-09-22;3899;2022-09-20;1800000;VCB
3176;2022-09-22;3918;2022-09-22;4000000;HD
3177;2022-09-22;3929;2022-09-22;2200000;VTB
3156;2022-09-21;3891;2022-09-20;2200000;VTB
3157,1;2022-09-21;3894;2022-09-20;2750000;BIDV
3158,1;2022-09-21;3912;2022-09-21;3300000;BIDV
3159;2022-09-21;3902;2022-09-21;7200000;VCB
3159,1;2022-09-21;3826;2022-09-15;5500000;BIDV
3160;2022-09-21;3878;2022-09-19;500000;VCB
3160,1;2022-09-21;3863,1;2022-09-19;4950000;VCB
3161;2022-09-21;3895;2022-09-20;1650000;VCB
3139,1;2022-09-20;3596,1;2022-08-29;13200000;BIDV
3140,1;2022-09-20;3872;2022-09-19;9000000;HD
3141,1;2022-09-20;3875;2022-09-19;1650000;VCB
3142;2022-09-20;3851;2022-09-16;5000000;BIDV
3142,1;2022-09-20;3852;2022-09-16;6500000;HD
3142,1;2022-09-20;3890;2022-09-20;3850000;BIDV
3145;2022-09-20;3883;2022-09-20;1650000;VCB
3146;2022-09-20;3884;2022-09-20;2750000;BIDV
3147;2022-09-20;3885;2022-09-20;3300000;VCB
3148;2022-09-20;3886;2022-09-20;2200000;VTB
3149;2022-09-20;3887;2022-09-20;2500000;VCB
3154;2022-09-20;3889;2022-09-20;3300000;CSXH
3155;2022-09-20;3761;2022-09-12;7700000;BIDV
3116;2022-09-19;3842;2022-09-16;9900000;HD
3116,1;2022-09-19;3877;2022-09-19;2500000;VCB
3118,1;2022-09-19;3879;2022-09-19;2000000;VCB
3123;2022-09-19;3861;2022-09-19;1800000;VTB
3126;2022-09-19;3873;2022-09-19;4000000;VCB
3127;2022-09-19;3874;2022-09-19;2000000;VCB
3128;2022-09-19;3853;2022-09-16;3000000;VCB
3129;2022-09-19;3866;2022-09-19;1650000;VCB
3130;2022-09-19;3802;2022-09-14;1800000;VTB
3133;2022-09-19;3869;2022-09-19;3700000;VCB
3137;2022-09-19;3850;2022-09-16;1800000;VCB
3104;2022-09-16;3810;2022-09-15;7200000;VCB
3104,1;2022-09-16;3856;2022-09-16;1800000;VCB
3105;2022-09-16;3759;2022-09-12;11600000;VCB
3105,1;2022-09-16;3807;2022-09-15;2500000;VCB
3105,1;2022-09-16;3807;2022-09-15;2500000;VCB
3106,1;2022-09-16;3785,1;2022-09-14;4950000;VCB
3107;2022-09-16;3801;2022-09-14;1800000;VTB
3109;2022-09-16;3848;2022-09-16;7000000;VCB
3110;2022-09-16;3740,1;2022-09-12;4500000;VCB
3114;2022-09-16;3771;2022-09-13;2500000;HD
3084,1;2022-09-15;3806;2022-09-14;2500000;VCB
3086;2022-09-15;3809;2022-09-15;1800000;VCB
3090;2022-09-15;3817;2022-09-15;2200000;VCB
3091;2022-09-15;3820;2022-09-15;2000000;VCB
3092;2022-09-15;3798;2022-09-14;2500000;VCB
3093;2022-09-15;3739;2022-09-09;40000000;HD
3094;2022-09-15;3823;2022-09-15;2500000;VCB
3095;2022-09-15;3812;2022-09-15;2200000;VTB
3097;2022-09-15;3799;2022-09-14;1800000;VCB
3099;2022-09-15;3762;2022-09-12;3300000;VCB
3100;2022-09-15;3763;2022-09-12;1650000;VCB
3101;2022-09-15;3800;2022-09-14;2200000;VCB
3065,1;2022-09-14;3778;2022-09-13;5500000;BIDV
3066;2022-09-14;3726,1;2022-09-09;1650000;VCB
3066,1;2022-09-14;3744;2022-09-12;3300000;BIDV
3070;2022-09-14;3787;2022-09-14;1650000;VCB
3071;2022-09-14;3776;2022-09-13;2200000;BIDV
3073;2022-09-14;3722;2022-09-08;3300000;CSXH
3041;2022-09-13;3700;2022-09-07;1800000;VTB
3041,1;2022-09-13;3728;2022-09-09;27000000;HD
3042,1;2022-09-13;3738;2022-09-09;4950000;VCB
3043,1;2022-09-13;3784;2022-09-13;2000000;VCB
3052;2022-09-13;3768;2022-09-13;1650000;VCB
3053;2022-09-13;3758;2022-09-12;3300000;VCB
3055;2022-09-13;3725;2022-09-08;2500000;VCB
3056;2022-09-13;3724;2022-09-08;6000000;VCB
3057;2022-09-13;3757;2022-09-12;3300000;CSXH
3060;2022-09-13;3773;2022-09-13;1650000;VCB
3061;2022-09-13;3772;2022-09-13;2000000;VCB
3022;2022-09-12;3740;2022-09-12;4400000;HD
3022,1;2022-09-12;3749;2022-09-12;5000000;BIDV
3024,1;2022-09-12;3748;2022-09-12;2200000;BIDV
3025,1;2022-09-12;3716;2022-09-08;20000000;BIDV
3028;2022-09-12;3734;2022-09-09;3700000;VTB
3029;2022-09-12;3733;2022-09-09;3200000;VCB
3030;2022-09-12;3707;2022-09-07;1650000;VCB
3031;2022-09-12;3721;2022-09-08;1650000;VCB
3032;2022-09-12;3642;2022-09-05;2500000;VCB
3035;2022-09-12;3390,1;2022-08-12;1300000;VCB
3037;2022-09-12;3746;2022-09-12;2200000;VTB
3038;2022-09-12;3747;2022-09-12;3300000;BIDV
3040;2022-09-12;3754;2022-09-12;4400000;HD
3001;2022-09-09;3726;2022-09-09;2000000;VCB
3002,1;2022-09-09;3719;2022-09-08;1650000;VCB
3008,1;2022-09-09;3709;2022-09-08;4000000;BIDV
3015;2022-09-09;3641;2022-09-05;1650000;VCB
3016;2022-09-09;3706;2022-09-07;1650000;VCB
3034;2022-09-09;3720;2022-09-08;1300000;VCB
2979,1;2022-09-08;3663;2022-09-05;3850000;BIDV
2980,1;2022-09-08;2366;2022-06-07;6600000;VCB
2983;2022-09-08;3671;2022-09-06;2200000;VTB
2987;2022-09-08;3710;2022-09-08;1800000;VCB
2989;2022-09-08;3029;2022-07-19;26500000;HD
2991;2022-09-08;3712;2022-09-08;2000000;VCB
2992;2022-09-08;3701;2022-09-07;2500000;VCB
2994;2022-09-08;3621;2022-08-30;15000000;VCB
2995;2022-09-08;3713;2022-09-08;3000000;VCB
2996;2022-09-08;3385,1;2022-08-12;2200000;VCB
2999;2022-09-08;3686;2022-09-07;3850000;BIDV
2959;2022-09-07;3685;2022-09-07;2000000;VCB
2960;2022-09-07;3658;2022-09-05;1800000;VTB
2960,1;2022-09-07;3486,1;2022-08-22;2500000;VCB
2961;2022-09-07;3675;2022-09-06;2200000;VCB
2965;2022-09-07;3676;2022-09-06;2750000;BIDV
2966;2022-09-07;3597,1;2022-08-29;1650000;VCB
2967;2022-09-07;3664;2022-09-05;4200000;VCB
2971;2022-09-07;3696;2022-09-07;1650000;VCB
2972;2022-09-07;3677;2022-09-06;3300000;CSXH
2937;2022-09-06;3661;2022-09-05;2500000;VCB
2941,1;2022-09-06;3679;2022-09-06;2200000;VCB
2943;2022-09-06;3666;2022-09-06;9900000;BIDV
2948;2022-09-06;3656;2022-09-05;3300000;VCB
2951;2022-09-06;3657;2022-09-05;1800000;VTB
2955;2022-09-06;3532;2022-08-24;1650000;VCB
2955,1;2022-09-06;3629;2022-08-30;2000000;VCB
2956,1;2022-09-06;3338;2022-08-09;1650000;VCB
2957,1;2022-09-06;3645;2022-09-05;2200000;VCB
2922;2022-09-05;3569;2022-08-25;3300000;VCB
2922,1;2022-09-05;3662;2022-09-05;1800000;VCB
2924,1;2022-09-05;3642,1;2022-09-05;2200000;VCB
2930;2022-09-05;3638;2022-08-31;2000000;VCB
2931;2022-09-05;3647;2022-09-05;2500000;VTB
2932;2022-09-05;3639;2022-08-31;3000000;VCB
2933;2022-09-05;3612;2022-08-29;1800000;VCB
2934;2022-09-05;3630;2022-08-30;1650000;VCB
2935;2022-09-05;3572;2022-08-26;3300000;VCB
2936;2022-09-05;3618;2022-08-30;2000000;VTB
2938;2022-09-05;3650;2022-09-05;2200000;VTB
2909;2022-08-31;3607;2022-08-29;1350000;VTB
2910;2022-08-31;3056,1;2022-07-20;5000000;BIDV
2911;2022-08-31;3635;2022-08-31;1650000;VCB
2912;2022-08-31;3602;2022-08-29;5000000;BIDV
2913;2022-08-31;3636;2022-08-31;4000000;VCB
2878,1;2022-08-30;3609;2022-08-29;2750000;BIDV
2879,1;2022-08-30;3599;2022-08-29;9000000;HD
2880;2022-08-30;3603;2022-08-29;8250000;BIDV
2881;2022-08-30;3509;2022-08-22;7000000;HD
2881,1;2022-08-30;3628;2022-08-30;2000000;VTB
2882,1;2022-08-30;3066,1;2022-07-21;3000000;VTB
2888;2022-08-30;3587;2022-08-26;7500000;BIDV
2890;2022-08-30;3619;2022-08-30;5500000;HD
2892;2022-08-30;3549;2022-08-24;11000000;BIDV
2894;2022-08-30;3610;2022-08-29;3600000;VCB
2895;2022-08-30;3571;2022-08-26;1800000;VCB
2896;2022-08-30;3622;2022-08-30;2200000;VTB
2897;2022-08-30;3620;2022-08-30;1650000;VCB
2905;2022-08-30;3624;2022-08-30;1650000;VCB
2906;2022-08-30;3625;2022-08-30;3000000;VCB
2864;2022-08-29;3586;2022-08-26;2500000;VCB
2864,1;2022-08-29;3592;2022-08-26;6000000;BIDV
2867;2022-08-29;3597;2022-08-29;7000000;HD
2868;2022-08-29;3598;2022-08-29;1650000;VCB
2869;2022-08-29;3546;2022-08-24;2025000;VTB
2870;2022-08-29;3547;2022-08-24;1350000;VTB
2871;2022-08-29;3596;2022-08-29;13000000;HD
2872;2022-08-29;3297,1;2022-08-08;1650000;VCB
2874;2022-08-29;3590;2022-08-26;1650000;VCB
2876;2022-08-29;3605;2022-08-29;3300000;BIDV
2681;2022-08-26;3584;2022-08-26;2000000;VCB
2846;2022-08-26;3553,1;2022-08-25;4500000;VCB
2850,1;2022-08-26;3570;2022-08-26;2000000;VCB
2851;2022-08-26;3580;2022-08-26;3300000;VCB
2854;2022-08-26;3577;2022-08-26;2000000;VCB
h;2022-08-26;2864;2022-07-07;27500000;HD
2833;2022-08-25;3530;2022-08-24;6000000;VCB
2835;2022-08-25;3539;2022-08-24;2000000;VCB
2838;2022-08-25;3560;2022-08-25;3300000;VCB
2848;2022-08-25;3566;2022-08-25;2300000;VCB
2849;2022-08-25;3567;2022-08-25;1800000;VCB
2817;2022-08-24;3502;2022-08-22;3300000;CSXH
2817,1;2022-08-24;3548;2022-08-24;5650000;BIDV
2818,1;2022-08-24;3484;2022-08-22;1500000;BIDV
2819;2022-08-24;3522;2022-08-23;3000000;VCB
2819,1;2022-08-24;3513;2022-08-22;6000000;VCB
2820,1;2022-08-24;3550;2022-08-24;2000000;VCB
2822;2022-08-24;3457;2022-08-17;2200000;CSXH
2823;2022-08-24;3519;2022-08-22;3600000;VCB
2824;2022-08-24;3484,1;2022-08-22;2000000;VCB
2826;2022-08-24;3540;2022-08-24;2000000;VTB
2802,1;2022-08-23;3514;2022-08-22;1650000;VCB
2802,2;2022-08-23;3515;2022-08-22;1650000;VCB
2802,3;2022-08-23;3516;2022-08-22;1650000;VCB
2803;2022-08-23;3443;2022-08-16;3850000;BIDV
2804;2022-08-23;3461,1;2022-08-18;1650000;VCB
2805;2022-08-23;3487;2022-08-22;5000000;VCB
2816;2022-08-23;3512;2022-08-22;2200000;VCB
2787,1;2022-08-22;3498;2022-08-22;4400000;VCB
2788;2022-08-22;3477;2022-08-19;6600000;VCB
2788,1;2022-08-22;3506;2022-08-22;2200000;VCB
2790;2022-08-22;3372;2022-08-11;3500000;HD
2791;2022-08-22;3493;2022-08-22;3300000;CSXH
2791,1;2022-08-22;3521;2022-08-22;2200000;VCB
2793;2022-08-22;3495;2022-08-22;1800000;VCB
2795;2022-08-22;3494;2022-08-22;15000000;AGRI
2796;2022-08-22;3500;2022-08-22;2200000;VCB
2797;2022-08-22;3501;2022-08-22;3300000;CSXH
2798;2022-08-22;3503;2022-08-22;1800000;VCB
2799;2022-08-22;3504;2022-08-22;2500000;VTB
2800;2022-08-22;3505;2022-08-22;2500000;VCB
2801;2022-08-22;3508;2022-08-22;1800000;VCB
h;2022-08-22;2783,1;2022-07-01;2000000;BIDV
2767,1;2022-08-19;3480;2022-08-19;2750000;BIDV
2768,1;2022-08-19;3482;2022-08-19;2200000;VCB
2769,1;2022-08-19;3403,1;2022-08-15;3850000;BIDV
2770,1;2022-08-19;3483;2022-08-19;4400000;BIDV
2771,1;2022-08-19;3447,1;2022-08-17;1800000;VCB
2772,1;2022-08-19;3386,1;2022-08-12;2200000;BIDV
2777;2022-08-19;3401,1;2022-08-15;1650000;VCB
2777;2022-08-19;3401,1;2022-08-15;1650000;VCB
2778;2022-08-19;3456;2022-08-17;1650000;VCB
2779;2022-08-19;3460,1;2022-08-18;2000000;VCB
2781;2022-08-19;3470;2022-08-18;2200000;BIDV
2783;2022-08-19;3450;2022-08-17;5500000;HD
2784;2022-08-19;3458,1;2022-08-18;2200000;VTB
2785;2022-08-19;3399,1;2022-08-15;18000000;VCB
2744,1;2022-08-18;3462;2022-08-18;4400000;BIDV
2745,1;2022-08-18;3466;2022-08-18;1500000;BIDV
2746,1;2022-08-18;3474;2022-08-18;2200000;VCB
2747,1;2022-08-18;3463;2022-08-18;3300000;BIDV
2748;2022-08-18;3464;2022-08-18;2200000;VTB
2749;2022-08-18;3452;2022-08-17;35000000;HD
2753;2022-08-18;3465;2022-08-18;8800000;VCB
2755;2022-08-18;3442;2022-08-16;3300000;VCB
2756;2022-08-18;3397;2022-08-12;1650000;VCB
2757;2022-08-18;3469;2022-08-18;1650000;VCB
2759;2022-08-18;3421;2022-08-15;2000000;VCB
2760;2022-08-18;3422,1;2022-08-15;6000000;VCB
2761;2022-08-18;3445,1;2022-08-17;3000000;VCB
2762;2022-08-18;3441;2022-08-16;3600000;VCB
2764;2022-08-18;3454;2022-08-17;10000000;AGRI
2764,1;2022-08-18;3449,1;2022-08-17;10800000;AGRI
2765;2022-08-18;3467;2022-08-18;2500000;VCB
2865,3;2022-08-18;3464,1;2022-08-18;1650000;VCB
2733,1;2022-08-17;3411;2022-08-15;8500000;HD
2734;2022-08-17;3444;2022-08-17;3000000;CSXH
2734,1;2022-08-17;3453;2022-08-17;5000000;AGRI
2735,1;2022-08-17;3455;2022-08-17;1650000;VCB
2736;2022-08-17;3416;2022-08-15;2200000;VCB
2737;2022-08-17;3437;2022-08-16;2500000;VCB
2699;2022-08-16;3337;2022-08-09;2500000;VCB
2715;2022-08-16;3395;2022-08-12;2200000;VCB
2715;2022-08-16;3395;2022-08-12;2200000;VCB
