Quận/Huyện,Logic,N/A = Yes,Phường,Đường,Đoạn,VT1,VT2,VT3,VT4,Loại đất,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Hiền Vương,,29000,,,,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Thị Giang,,32000,,,,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Thị Hiền,,32000,16000,10000,7000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Trãi,Đoạn từ đường Cách Mạng Tháng 8 đến đường Nguyễn Thị Hiền,35000,16000,10000,7000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Trãi,Đoạn từ đường Nguyễn Thị Hiền đến đường Nguyễn Văn Trị,30000,15000,9500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Trị,Đoạn từ Cách Mạng Tháng 8 đến hết Sở Giáo dục và Đào tạo,30000,,,,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Trị,Đoạn tiếp theo đến đường Phan Chu Trinh,30000,15000,9500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Trị,Đoạn từ đường Phan Chu Trinh đến đường Nguyễn Ái Quốc,28000,13000,6600,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Phan Chu Trinh,Đoạn từ đường Nguyễn Văn Trị đến đường Cách Mạng Tháng 8,31000,15000,10000,7000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Phan Chu Trinh,Đoạn từ đường Cách Mạng Tháng 8 đến đường Phan Đình Phùng,27000,14000,9500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Phan Đình Phùng,,29000,15000,9000,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Quang Trung,Đoạn từ đường Cách Mạng Tháng 8 đến đường Phan Chu Trinh,27000,14000,9000,6000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Quang Trung,Đoạn từ Phan Chu Trinh đến đường Lê Thánh Tôn,30000,15000,9500,6300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Trần Minh Trí,,28000,14000,9000,6000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Võ Tánh,,30000,16000,9500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lê Thánh Tôn,,31000,16000,9500,6500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hoàng Minh Châu,,23000,13000,8000,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Huỳnh Văn Lũy,,29000,11000,8000,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường từ Huỳnh Văn Lũy đến hết chung cư phường Hòa Bình,,20000,10000,6200,4400,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Ái Quốc,Đoạn từ giáp ranh tỉnh Bình Dương đến cầu Hóa An,22000,10000,4900,3500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Ái Quốc,Đoạn từ cầu Hóa An đến giáp Trung tâm Hội nghị và Tổ chức sự kiện tỉnh Đồng Nai,25000,13000,8000,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Ái Quốc,Đoạn từ Trung tâm Hội nghị và Tổ chức sự kiện tỉnh Đồng Nai đến ngã 4 Tân Phong,30000,13000,8500,5500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Ái Quốc,"Đoạn từ ngã 4 Tân Phong đến Công viên 30 tháng 4 (bên trái: Hẻm đền Thánh Hiếu, bên phải: Hẻm chợ nhỏ khu phố 4)",27000,13000,8000,6000,ĐẤT Ở ĐÔ THỊ
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Ký,,23000,13000,5900,4200,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Nghĩa,,23000,13000,5900,4200,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Trỗi,,21000,13000,5900,3600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hồ Văn Đại,,29000,11000,6500,4400,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường D9 (khu dân cư D2D),,29000,14000,8500,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường D10 (khu dân cư D2D),,29000,14000,8500,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Hoa,Đoạn từ đường Phạm Văn Thuận đến hết UBND phường Thống Nhất,21000,11000,6500,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Hoa,Đoạn từ UBND phường Thống Nhất đến đường Võ Thị Sáu,20000,10000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường N1 (khu dân cư D2D),,29000,14000,8500,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Thành Đồng,,23000,13000,8000,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Thành Phương,,23000,13000,8000,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Võ Thị Sáu,Đoạn từ đường Cách Mạng Tháng 8 đến đường Hà Huy Giáp,31000,14000,9000,5500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Võ Thị Sáu,Đoạn từ đường Hà Huy Giáp đến đường Phạm Văn Thuận,33000,14000,9000,6000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hà Huy Giáp,Đoạn từ cầu Rạch Cát đến đường Võ Thị Sáu,31000,14000,8500,6000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hà Huy Giáp,Đoạn từ đường Võ Thị Sáu đến ngã năm Biên Hùng (giáp đường Hưng Đạo Vương),38000,16000,10000,7000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Trịnh Hoài Đức,,31000,13000,9000,7000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Trần Công An,,22000,13000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Huỳnh Văn Hớn,,20000,11000,8000,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Đồng Khởi,Đoạn từ Xa lộ Hà Nội đến đường Phạm Văn Khoai,35000,16000,9000,6000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Đồng Khởi,Đoạn từ đường Phạm Văn Khoai đến cầu Đồng Khởi,31000,13000,9000,5500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Đồng Khởi,Đoạn từ cầu Đồng Khởi đến đường Nguyễn Văn Tiên,26000,10000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Đồng Khởi,Đoạn từ đường Nguyễn Văn Tiên đến giáp đường vào Công ty Trấn Biên,21000,10000,5200,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Đồng Khởi,Đoạn từ đường vào Công ty Trấn Biên đến giáp ranh huyện Vĩnh Cửu,17000,8000,4600,2600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lê Quý Đôn,,22000,11000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn A,,21000,11000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Phạm Thị Nghĩa,,20000,10000,6500,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Phạm Văn Khoai,,22000,11000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,"Đường từ Xa lộ Hà Nội đến Sân vận động Đồng Nai (từ Xa lộ Hà Nội qua Cô nhi viện, qua KDC Đinh Thuận, Trường Đinh Tiên Hoàng)",Đoạn từ Xa lộ Hà Nội đến Trường Đinh Tiên Hoàng,20000,10000,6500,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,"Đường từ Xa lộ Hà Nội đến Sân vận động Đồng Nai (từ Xa lộ Hà Nội qua Cô nhi viện, qua KDC Đinh Thuận, Trường Đinh Tiên Hoàng)",Đoạn từ Trường Đinh Tiên Hoàng đến Sân vận động Đồng Nai,23000,10000,6500,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Bùi Văn Bình,,18000,10000,4600,3500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hồ Hòa,,19000,9000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lương Văn Nho,Đoạn từ đường Nguyễn Ái Quốc đến đường vào cư xá Tỉnh đội,19000,9000,5900,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lương Văn Nho,Đoạn từ đường vào cư xá Tỉnh đội đến ngã rẽ giáp đường Hồ Hòa,17000,8000,5200,3500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Hoài,,18000,9000,5200,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Tiên,Đoạn từ đường Đồng Khởi đến hết ranh khu dân cư Hốc Bà Thức,14000,7000,4200,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Văn Tiên,Đoạn từ khu dân cư Hốc Bà Thức đến ranh tường rào sân bay,10000,5000,3900,2600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Bùi Trọng Nghĩa,Đoạn từ đường Đồng Khởi đến ngã 3 cây xăng khu phố 3 - phường Trảng Dài,20000,10000,5200,3500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Bùi Trọng Nghĩa,Đoạn từ ngã ba cây xăng khu phố 3 đến Trường Tiểu học Trảng Dài,17000,8000,4600,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Trần Văn Xã,,19000,9000,4600,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Thái Học (tên cũ: Đường từ Trường Tiểu học Trảng Dài đến ngã tư Cây Sung),,15000,7000,4200,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Khuyến (từ ĐT 768B đến ngã tư Phú Thọ),Đoạn từ ĐT 768B qua Trường Tiểu học Trảng Dài đến đường Trần Văn Xã (ngã tư Trường Nguyễn Khuyến),17000,8000,4600,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Khuyến (từ ĐT 768B đến ngã tư Phú Thọ),Đoạn từ đường Trần Văn Xã  (ngã tư Trường Nguyễn Khuyến) đến ngã tư Phú Thọ,18000,8000,4600,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Phúc Chu (đường từ cầu Săn Máu đến đường Trần Văn Xã),Trong phạm vi bán kính 200 mét khu vực ngã tư Phú Thọ và chợ nhỏ Trảng Dài (giáp đường Trần Văn Xã),17000,8000,4600,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Phúc Chu (đường từ cầu Săn Máu đến đường Trần Văn Xã),Đoạn còn lại,16000,7000,4200,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường nối tiếp từ đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài đến đường Nguyễn Thái Học,"Đoạn từ đường Trần Văn Xã đến ngã ba Tư Lô (đầu hẻm 1, tổ 17 phường Trảng Dài)",16000,8000,4200,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường nối tiếp từ đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài đến đường Nguyễn Thái Học,Đoạn còn lại,15000,8000,4200,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường từ ngã ba đi Văn phòng KP4 phường Trảng Dài đến đường Thân Nhân Trung (ngã ba Thanh Hóa),,15000,8000,4200,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Thân Nhân Trung,Đoạn từ đường Nguyễn Ái Quốc đến suối Săn Máu,16000,7000,4200,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Thân Nhân Trung,Đoạn từ suối Săn Máu đến đường Nguyễn Thái Học,15000,7000,4200,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Xa lộ Hà Nội,"Đoạn từ hẻm bên hông giáo xứ Hà Nội (bên phải), hẻm chợ nhỏ khu phố 4 (bên trái) đến cầu Sập",33000,14000,8500,5000,ĐẤT Ở ĐÔ THỊ
Thành phố Biên Hòa,Đường + Đoạn,,,Xa lộ Hà Nội,Đoạn từ cầu Sập đến vòng xoay Tam Hiệp,31000,13000,6500,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Xa lộ Hà Nội,Đoạn từ vòng xoay Tam Hiệp đến hết ranh giới tỉnh Đồng Nai,26000,10000,6000,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Tô Hiến Thành,,20000,10000,8000,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lê Đại Hành,,19000,10000,8500,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Điểu Xiển,,22000,9000,6000,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Quốc lộ 1,"Đoạn từ hẻm bên hông giáo xứ Hà Nội (bên phải), hẻm đền Thánh Hiếu (bên trái) đến đường Phùng Khắc Khoan",33000,14000,6500,5000,ĐẤT Ở ĐÔ THỊ
Thành phố Biên Hòa,Đường + Đoạn,,,Quốc lộ 1,Đoạn từ đường Phùng Khắc Khoan đến hết chợ Thái Bình,25000,12000,8000,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Quốc lộ 1,Đoạn từ chợ Thái Bình đến ranh giới huyện Trảng Bom,21000,9000,5200,3900,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Trường Tộ (đường vào đền thánh Martin cũ),,17000,8000,4200,2600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Ngô Sĩ Liên,,17000,8000,4600,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn từ Quốc lộ 1 đến đường Nguyễn Trường Tộ,16000,8000,4200,2600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn từ đường Nguyễn Trường Tộ đến giáp ranh Nhà máy nước Thiện Tân,12000,6000,3300,2300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn tiếp theo đến hết ranh giới phường Tân Hòa (ranh giới giữa phường Tân Hòa với xã Thiện Tân),8000,5000,2900,2000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Hoàng Văn Bổn (đường vào Nhà máy nước Thiện Tân cũ),Đoạn tiếp theo đến hết ranh giới thành phố Biên Hòa,6000,3000,2500,1600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường xóm 8 phường Tân Biên,,20000,9000,6000,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Võ Văn Mén,,18000,9000,6000,3600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lê Ngô Cát,Đoạn từ Quốc lộ 1 đến hết hẻm vào Trường THCS Nguyễn Công Trứ,17000,8000,4600,3300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lê Ngô Cát,Đoạn từ hẻm vào Trường THCS Nguyễn Công Trứ đến hết Dòng nữ trợ thế Thánh Tâm,12000,6000,3300,2300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Lê Ngô Cát,Đoạn từ Dòng nữ trợ thế Thánh Tâm đến hết ranh giới phường Tân Hòa,8000,4000,2700,1600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Phùng Khắc Khoan,,30000,10000,7200,5000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Ngô Xá (phường Tân Hòa),,10000,5000,3000,2100,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Huỳnh Văn Nghệ,Đoạn từ đường Nguyễn Ái Quốc đến đường Nguyễn Bỉnh Khiêm,29000,13000,6500,4500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Huỳnh Văn Nghệ,Đoạn từ đường Nguyễn Bỉnh Khiêm đến đường Ngô Thì Nhậm,22000,11000,5200,3500,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Huỳnh Văn Nghệ,Đoạn từ đường Ngô Thì Nhậm đến đường Võ Trường Toản,17000,8000,3900,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Huỳnh Văn Nghệ,Đoạn từ đường Võ Trường Toản đến đường ngã ba Gạc Nai,12000,6000,3300,2300,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Huỳnh Văn Nghệ,Đoạn từ ngã ba Gạc Nai đến giáp ranh huyện Vĩnh Cửu,9000,4500,2900,2100,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Võ Trường Toản,,14000,8000,3900,2700,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Du (đường vào Miếu Bình Thiền cũ),,23000,13000,6000,3600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Đình Chiểu,,17000,8000,4200,3100,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Chu Văn An,,14000,8000,4200,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Nguyễn Bỉnh Khiêm,,21000,13000,6000,3600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Võ Thị Tám,,14000,8000,3900,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường Ngô Thì Nhậm,,13000,7000,3900,3000,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường 10 (khu dân cư Bửu Long),,21000,13000,6000,3600,ĐẤT Ở ĐÔ THỊ,
Thành phố Biên Hòa,Đường + Đoạn,,,Đường N4 (khu dân cư Bửu Long),,21000,13000,6000,3600,ĐẤT Ở ĐÔ THỊ,
